	Topic: options.ibkr.pace	Partition: 23	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options.ibkr.pace	Partition: 24	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options.ibkr.pace	Partition: 25	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options.ibkr.pace	Partition: 26	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options.ibkr.pace	Partition: 27	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options.ibkr.pace	Partition: 28	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options.ibkr.pace	Partition: 29	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options.ibkr.pace	Partition: 30	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options.ibkr.pace	Partition: 31	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
Topic: dev.options.ibkr.directional-pressure	TopicId: bHPjZBmLS1iwq1z54Tfeuw	PartitionCount: 1	ReplicationFactor: 1	Configs: min.insync.replicas=1,segment.bytes=1073741824
	Topic: dev.options.ibkr.directional-pressure	Partition: 0	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	TopicId: 1e5v7pQyQDSmaxF2FNBxoQ	PartitionCount: 32	ReplicationFactor: 1	Configs: min.insync.replicas=1,cleanup.policy=delete,segment.bytes=52428800,retention.ms=86400000,message.timestamp.type=CreateTime,segment.ms=3600000
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 0	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 1	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 2	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 3	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 4	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 5	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 6	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 7	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 8	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 9	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 10	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 11	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 12	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 13	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 14	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 15	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 16	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 17	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 18	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 19	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 20	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 21	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 22	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 23	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 24	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 25	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 26	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 27	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 28	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 29	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 30	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-pace-v1-prod-mission-pace-raw-by-market-repartition	Partition: 31	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
Topic: options.databento.normalized	TopicId: MjhullBgS-Khbos9qYbmjA	PartitionCount: 32	ReplicationFactor: 1	Configs: min.insync.replicas=1,cleanup.policy=delete,segment.bytes=1073741824,retention.ms=86400000
	Topic: options.databento.normalized	Partition: 0	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 1	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 2	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 3	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 4	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 5	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 6	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 7	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 8	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 9	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
